slice,centroid_y,centroid_x
1,309.7994652406417,270.7834224598931
2,307.8288713910761,271.50787401574803
3,308.2801064537592,272.2224440008871
4,307.97433326649286,271.4559855624624
5,308.1208708708709,270.42173423423424
6,311.004505229284,265.861786001609
7,310.6319496478346,264.5570208302113
8,308.3793302540416,265.26154734411085
9,307.7932698753184,263.794878670063
10,307.58451677768005,262.76234761844916
11,308.09634351695934,261.70639884532113
12,308.891960670908,260.776980913823
13,310.1887801547565,260.3189576695494
14,311.3799573081676,260.06370070778564
15,312.61303370786516,259.96921348314606
16,313.5788754837241,260.3040063737765
17,314.290668202765,260.8758064516129
18,313.76956721915286,261.80570902394106
19,309.1225542894001,262.8863685228983
20,304.8997503744383,262.68367448826757
21,300.1194922937443,261.40444242973706
22,297.40485625158084,259.9673720596914
23,295.37243343751237,301.40914665506193
24,293.75920435353726,301.2735222368174
25,292.5899989368111,301.1285749725343
26,292.12893218133905,301.1798378757047
27,292.0452339959305,301.27008921583973
28,292.6885679055839,301.33497739416356
29,293.4602586778687,301.26105460977226
30,294.24705698510263,301.1912699239504
31,295.0991397372378,301.28610515418177
32,296.01328002618595,301.2189801501017
33,296.9615760266371,301.0577358490566
34,298.2230596604141,301.22913579201423
35,299.4307880931803,301.160332040279
36,301.0303547459252,301.25779482262703
37,302.2257839593387,301.17600322941706
38,303.54034883925584,301.25031240649804
39,304.7010134562587,301.25570280988376
40,305.25945132424874,301.2937721866872
41,305.81441358805665,301.32690726214577
42,306.2396995114757,301.1628567917166
43,306.3726815843006,301.1988452794065
44,306.1398048894471,301.22929871191985
45,306.00802325747105,301.3511707115475
46,305.75580229026775,301.34324761082166
47,305.1652954579564,301.3377675903565
48,304.6343249672574,301.31515783283885
49,304.3506726810207,301.27860533424246
50,303.9045674160923,301.2927655736649
51,303.1610870471163,301.28596865647137
52,302.77276684659586,301.3159498519937
53,302.2687781366216,301.2827241143081
54,301.80978267420414,301.2966985282596
55,301.27158686518845,301.32812035086465
56,300.74554274036313,301.3035399685232
57,300.3919910214282,301.2715208034433
58,300.23410911341057,301.29868105927784
59,299.9877925758005,301.22194389345424
60,299.5560370341415,301.2102100760562
61,299.4971286307054,301.275806362379
62,299.28819901676763,301.2808028267931
63,298.94985372644123,301.30567367402205
64,298.77364683094805,301.18506402668675
65,298.62499466154173,301.1946081571642
66,298.30110892980315,301.29480553934314
67,298.1071183578703,301.33070550366733
68,297.65661815661815,301.2841197841198
69,297.1792841637216,301.26159589752194
70,296.7044397286194,301.2267115483122
71,296.5266449551942,301.1512508297378
72,296.4401086129225,301.18669903112334
73,295.8040703052729,301.31374241957036
74,295.0218586535398,301.18871201455187
75,294.1062072658374,301.08250267732103
76,292.74169102859156,301.21407393585037
77,291.42442473809,301.263894546632
78,289.61480341698945,301.41039953308217
79,287.97441885492896,301.50435858803274
80,286.7373349991852,301.4935412026726
81,285.8960741811175,301.2448217726397
82,284.7041837753856,301.24061702363775
83,282.97351068281813,301.2122877857329
84,281.6684219643166,301.3562676828916
85,280.869784459507,301.2925862513779
86,281.07881288609065,301.1644553528024
87,281.88745655382564,301.10602056849024
88,282.1292540680651,301.2508520136322
89,282.90380505005373,301.3255123111664
90,284.09381872972284,301.0126614578903
91,284.2506735182598,301.2800339253642
92,284.3875523546838,301.28311114516293
93,285.1938862928349,301.21481048805816
94,286.25358914464186,301.21336710322566
95,286.90713216424297,301.24263526518394
96,287.3964419064353,301.1608966615418
97,288.5579670290928,301.275316946595
98,290.6824558155432,301.56106071179346
99,292.83275582947545,301.2277542673748
100,294.7932078895002,301.10274493737563
101,297.1637845661613,301.1930829587872
102,301.16748466257667,301.05322893122377
103,305.54217502124044,301.2758198810535
104,311.98764947349633,301.31393896127076
105,312.5706499865844,301.4198584652536
106,312.86808370251674,301.25055770257956
107,311.9059717010985,300.76349773217004
108,309.659504009504,300.99270864270864
109,308.48128037000174,301.2541566653006
110,307.80126803989407,301.31149486849154
111,307.6456741452226,301.29818650992763
112,307.10778589156854,301.48970632540926
113,306.3218146606544,301.1303329864724
114,305.0831110715979,301.18939663347555
115,304.46694189879923,301.20643922209115
116,304.20739860118266,301.14108601337057
117,301.1181077433223,301.20918800926466
118,302.3455782773564,301.0886545232936
119,303.8361846048463,301.22453977224075
120,305.23400760719227,301.23860650069156
121,307.72184318071623,300.97927200942024
122,309.4232869256834,301.3463192822908
123,311.28292630135996,301.06332744128997
124,313.2467066539604,301.10120148737786
125,315.5395168214815,301.29898134415737
126,317.84696916788204,301.1938664420845
127,320.01285128294643,301.27282248210855
128,322.7497366018122,301.28924632998525
129,326.8455906907447,301.36337948573043
130,331.9815449284542,301.4694958684824
